id,question_type_id,admin_id,enterprise_id,short_name,question,points,created_at,updated_at,question_category_id,level,instructions,code
1,3,1,,DC21_1,"<p>&amp;space Navegar a través de documentos electrónicos utilizando diversas herramientas para encontrar información, datos o contenido digital.</p><br><p>&amp;space Analizar la credibilidad y la fiabilidad de las fuentes de datos, información y contenido digital.</p><br><p>&amp;space Organizar, almacenar y recuperar datos, información y contenidos digitales en un entorno estructurado.</p>",5.0,2020-06-16 17:14:56,2020-06-16 22:14:56,2,0,<p>Relaciona las siguientes columnas de acuerdo a la correspondencia del concepto con su significado.</p>,DXDC_0111
2,2,1,,DC21_10,"<p>El paso número 1 es navegar en la red para &amp;space a través de la realización de búsquedas, el número 2 es &amp;space en sí para deshechar lo irrelevante de lo que no es. Posteriormente en el paso número 3 es &amp;space con un orden específico para que se encuentre disponible en todo momento.</p>",7.0,2020-06-16 22:14:56,2020-06-16 22:14:56,2,0,"<p>La obtención de información fidedigna conlleva un proceso, descrito en el siguiente párrafo de manera breve. Completa los espacios en blanco con las opciones que se presentan en la lista.</p>",DXDC_0112
3,5,1,,DC21_11,"<p>Son ubicaciones alojadas en la red, las cuales contienen información, datos, imágenes, audios y videos que son puestos al alcance de los internautas tras haber realizado un trabajo intelectual para elaborar dichos contenidos. ¿Cuáles de las siguientes opciones son un ejemplo de lo anterior? </p>",7.0,2020-06-16 22:14:56,2020-06-16 22:14:56,3,0,<p>Lee la siguiente oración y selecciona las dos opciones correctas.</p>,DXDC_0122B
4,2,1,,DC21_12,"<p>Es importante tener en cuenta la variedad de tecnologías digitales y comprender los medios de comunicación digital apropiados para un contexto determinado que nos permitan &amp;space con otras personas. Esto nos permite &amp;space datos, información y contenidos digitales con ellas con la finalidad de lograr una &amp;space para co-construir y co-crear nuevo contenido y recursos.</p>",7.0,2020-06-16 22:14:56,2020-06-16 22:14:56,4,0,<p>Lee el siguiente párrafo y completa los espacios en blanco con las palabras que se muestran en la lista.</p>,DXDC_0212
5,3,1,,DC21_13,"<p>&amp;space Participar activamente en la sociedad mediante el uso de servicios digitales públicos y privados.</p><br><p>&amp;space Adaptar las estrategias de comunicación, ser conscientes y respetar la diversidad cultural y generacional en los entornos digitales.</p><br><p>&amp;space Proteger la reputación propia, tratando con los datos que uno produce a través de varias herramientas, entornos y servicios digitales.</p>",7.0,2020-06-16 17:14:56,2020-06-16 22:14:56,5,0,<p>Relaciona las siguientes columnas de acuerdo a la correspondencia del concepto con su significado.</p>,DXDC_0232
6,1,1,,DC21_14,<p>La creación de contenidos digitales en diferentes formatos es una manera de expresarse a través de medios digitales y no implica la contribución a la sociedad del conocimiento actual.</p>,7.0,2020-06-16 22:14:56,2020-06-16 22:14:56,6,0,<p>Lee la siguiente oración y selecciona verdadero o falso según sea el caso.</p>,DXDC_0312
7,1,1,,DC21_15,"<p>Debido a diversas leyes, se encuentra prohibido modificar, mejorar e integrar la información y conocimientos existentes para crear contenidos y conocimientos nuevos y originales.</p>",7.0,2020-06-16 22:14:56,2020-06-16 22:14:56,7,0,<p>Lee la siguiente oración y selecciona verdadero o falso según sea el caso.</p>,DXDC_0322
8,3,1,,DC21_16,"<p><img src=""URL_SERVER/MEDIA_ZIP/DC21_12_A.jpg"" alt=""alt text"" title=""Imagen del ejercicio"" /></p>
<p>Respuesta: &amp;space</p><br><p><img src=""URL_SERVER/MEDIA_ZIP/DC21_12_B.jpg"" alt=""alt text"" title=""Imagen del ejercicio"" /></p>
<p>Respuesta: &amp;space</p><br><p><img src=""URL_SERVER/MEDIA_ZIP/DC21_12_C.jpg"" alt=""alt text"" title=""Imagen del ejercicio"" /></p>
<p>Respuesta: &amp;space</p><br><p><img src=""URL_SERVER/MEDIA_ZIP/DC21_12_D.jpg"" alt=""alt text"" title=""Imagen del ejercicio"" /></p>
<p>Respuesta: &amp;space</p><br><p><img src=""URL_SERVER/MEDIA_ZIP/DC21_12_E.jpg"" alt=""alt text"" title=""Imagen del ejercicio"" /></p>
<p>Respuesta: &amp;space</p>",7.0,2020-06-16 17:14:57,2020-06-16 22:14:57,8,0,<p>Arrastra el siguiente concepto hacia la imagen con la quese relaciona cada uno.</p>,DXDC_0332
9,1,1,,DC21_17,"<p>El uso de un antivirus instalado en tu computadora personal, te deja exento de las amenazas de robo de información en la red.</p>",7.0,2020-06-16 22:14:57,2020-06-16 22:14:57,9,0,<p>Lee la siguiente oración y selecciona verdadero o falso según sea el caso.</p>,DXDC_0422B
10,1,1,,DC21_2,<p>Toda la información que se recolecta de la red puede ser filtrada y ordenada de acuerdo al criterio propio de cada persona.</p>,5.0,2020-06-16 22:14:57,2020-06-16 22:14:57,2,0,<p>Lee la siguiente oración y selecciona verdadero o falso según sea el caso.</p>,DXDC_0131B
